사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20200925,우이신설선,4.19민주묘지,2714,2619,20200928
20200925,경원선,가능,6474,6036,20200928
20200925,3호선,가락시장,9713,9810,20200928
20200925,8호선,가락시장,8481,9887,20200928
20200925,경부선,가산디지털단지,17593,20361,20200928
20200925,7호선,가산디지털단지,44648,45130,20200928
20200925,9호선,가양,19639,18832,20200928
20200925,우이신설선,가오리,3859,3757,20200928
20200925,경의선,가좌,5154,4739,20200928
20200925,분당선,가천대,7086,7540,20200928
20200925,경춘선,가평,1539,1698,20200928
20200925,경인선,간석,5722,5453,20200928
20200925,경춘선,갈매,3030,2565,20200928
20200925,2호선,강남,80603,83610,20200928
20200925,7호선,강남구청,15709,17768,20200928
20200925,분당선,강남구청,9419,10953,20200928
20200925,5호선,강동,18761,16925,20200928
20200925,8호선,강동구청,10308,10415,20200928
20200925,경의선,강매,3018,2496,20200928
20200925,2호선,강변(동서울터미널),31012,30852,20200928
20200925,경춘선,강촌,384,437,20200928
20200925,5호선,개롱,6282,6355,20200928
20200925,경인선,개봉,21422,21664,20200928
20200925,분당선,개포동,3463,3523,20200928
20200925,9호선,개화,2601,1856,20200928
20200925,5호선,개화산,5183,4788,20200928
20200925,5호선,거여,7872,7344,20200928
20200925,7호선,건대입구,11887,12676,20200928
20200925,2호선,건대입구,33467,37866,20200928
20200925,공항철도 1호선,검암,7215,7017,20200928
20200925,경강선,경기광주,6927,6495,20200928
20200925,과천선,경마공원,1186,1159,20200928
20200925,3호선,경복궁(정부서울청사),17994,17717,20200928
20200925,3호선,경찰병원,7357,7321,20200928
20200925,공항철도 1호선,계양,9269,8300,20200928
20200925,5호선,고덕,8785,8403,20200928
20200925,6호선,고려대(종암),8004,7571,20200928
20200925,수인선,고색,2420,2386,20200928
20200925,9호선,고속터미널,11515,15195,20200928
20200925,3호선,고속터미널,39502,40954,20200928
20200925,7호선,고속터미널,14755,12782,20200928
20200925,안산선,고잔,8235,7977,20200928
20200925,경의선,곡산,552,572,20200928
20200925,경강선,곤지암,2119,2028,20200928
20200925,공항철도 1호선,공덕,2053,2645,20200928
20200925,경의선,공덕,3247,3063,20200928
20200925,6호선,공덕,18268,18022,20200928
20200925,5호선,공덕,13895,15068,20200928
20200925,7호선,공릉(서울과학기술대),11654,11593,20200928
20200925,9호선,공항시장,2799,3009,20200928
20200925,공항철도 1호선,공항화물청사,2222,2424,20200928
20200925,과천선,과천,4964,4319,20200928
20200925,경부선,관악,7165,6506,20200928
20200925,5호선,광나루(장신대),12852,11340,20200928
20200925,경부선,광명,3047,2820,20200928
20200925,7호선,광명사거리,23123,22548,20200928
20200925,경원선,광운대,8144,7611,20200928
20200925,5호선,광화문(세종문화회관),28221,29944,20200928
20200925,6호선,광흥창(서강),8503,8147,20200928
20200925,3호선,교대(법원.검찰청),14371,9269,20200928
20200925,2호선,교대(법원.검찰청),33863,38874,20200928
20200925,경부선,구로,18989,19653,20200928
20200925,2호선,구로디지털단지,60539,59862,20200928
20200925,분당선,구룡,1832,1662,20200928
20200925,중앙선,구리,13415,13544,20200928
20200925,9호선,구반포,2647,2767,20200928
20200925,6호선,구산,7174,5496,20200928
20200925,분당선,구성,4911,4845,20200928
20200925,2호선,구의(광진구청),23296,22388,20200928
20200925,경인선,구일,6234,6315,20200928
20200925,3호선,구파발,20528,19107,20200928
20200925,중앙선,국수,754,744,20200928
20200925,9호선,국회의사당,15330,15672,20200928
20200925,5호선,군자(능동),10786,11851,20200928
20200925,7호선,군자(능동),14168,11163,20200928
20200925,경부선,군포,7616,7564,20200928
20200925,경춘선,굴봉산,157,134,20200928
20200925,7호선,굴포천,8431,8745,20200928
20200925,5호선,굽은다리(강동구민회관앞),9100,8495,20200928
20200925,경춘선,금곡,1536,1441,20200928
20200925,경의선,금릉,4231,4226,20200928
20200925,경부선,금정,25426,25752,20200928
20200925,경부선,금천구청,11456,11332,20200928
20200925,경의선,금촌,6140,6032,20200928
20200925,3호선,금호,8238,7553,20200928
20200925,분당선,기흥,9265,8628,20200928
20200925,5호선,길동,7539,7944,20200928
20200925,4호선,길음,20339,19139,20200928
20200925,경춘선,김유정,250,271,20200928
20200925,9호선,김포공항,6906,10778,20200928
20200925,공항철도 1호선,김포공항,9699,6130,20200928
20200925,5호선,김포공항,6272,6496,20200928
20200925,5호선,까치산,28817,27086,20200928
20200925,7호선,까치울,7737,7196,20200928
20200925,2호선,낙성대(강감찬),27911,25544,20200928
20200925,7호선,남구로,15732,16754,20200928
20200925,수인선,남동인더스파크,2216,2528,20200928
20200925,3호선,남부터미널(예술의전당),28822,29329,20200928
20200925,7호선,남성,11427,10188,20200928
20200925,경부선,남영,9906,10255,20200928
20200925,경춘선,남춘천,2117,2053,20200928
20200925,4호선,남태령,1221,936,20200928
20200925,8호선,남한산성입구(성남법원.검찰청),13568,12021,20200928
20200925,7호선,내방,14573,14522,20200928
20200925,9호선,노들,4576,3823,20200928
20200925,9호선,노량진,24025,23567,20200928
20200925,경부선,노량진,8626,8908,20200928
20200925,7호선,노원,18620,20504,20200928
20200925,4호선,노원,18681,21728,20200928
20200925,3호선,녹번,14633,12899,20200928
20200925,6호선,녹사평(용산구청),4947,5018,20200928
20200925,경원선,녹양,4635,4358,20200928
20200925,경원선,녹천,4599,3799,20200928
20200925,7호선,논현,19981,22556,20200928
20200925,경의선,능곡,3670,3345,20200928
20200925,8호선,단대오거리,9901,9005,20200928
20200925,수인선,달월,73,68,20200928
20200925,5호선,답십리,15815,14288,20200928
20200925,4호선,당고개,12572,11361,20200928
20200925,2호선,당산,19448,22463,20200928
20200925,9호선,당산,18151,17591,20200928
20200925,경부선,당정,6198,5885,20200928
20200925,일산선,대곡,1867,1407,20200928
20200925,과천선,대공원,2238,2418,20200928
20200925,7호선,대림(구로구청),7830,7937,20200928
20200925,2호선,대림(구로구청),24685,24894,20200928
20200925,분당선,대모산입구,3373,3163,20200928
20200925,경부선,대방,12708,12814,20200928
20200925,경춘선,대성리,473,482,20200928
20200925,안산선,대야미,5103,4499,20200928
20200925,3호선,대청,9654,8603,20200928
20200925,3호선,대치,10523,10459,20200928
20200925,일산선,대화,12831,10113,20200928
20200925,6호선,대흥(서강대앞),7774,7973,20200928
20200925,경원선,덕계,2635,2349,20200928
20200925,중앙선,덕소,5806,5703,20200928
20200925,경원선,덕정,5565,5268,20200928
20200925,분당선,도곡,6494,6334,20200928
20200925,3호선,도곡,5202,5227,20200928
20200925,중앙선,도농,9986,8961,20200928
20200925,2호선,도림천,1275,1312,20200928
20200925,경원선,도봉,6236,5985,20200928
20200925,7호선,도봉산,8979,10310,20200928
20200925,경원선,도봉산,7636,4794,20200928
20200925,중앙선,도심,2500,1928,20200928
20200925,경인선,도원,3364,3397,20200928
20200925,경인선,도화,3709,3240,20200928
20200925,3호선,독립문,7192,7345,20200928
20200925,6호선,독바위,2834,2938,20200928
20200925,경부선,독산,16493,17367,20200928
20200925,6호선,돌곶이,8433,7659,20200928
20200925,1호선,동대문,11137,10920,20200928
20200925,4호선,동대문,19863,20256,20200928
20200925,4호선,동대문역사문화공원(DDP),14146,13572,20200928
20200925,2호선,동대문역사문화공원(DDP),11660,13439,20200928
20200925,5호선,동대문역사문화공원(DDP),2754,3224,20200928
20200925,3호선,동대입구,7056,7347,20200928
20200925,경원선,동두천,2039,2396,20200928
20200925,경원선,동두천중앙,3162,3167,20200928
20200925,6호선,동묘앞,7713,7868,20200928
20200925,1호선,동묘앞,8224,8596,20200928
20200925,경인선,동암,15335,15319,20200928
20200925,경인선,동인천,13666,12892,20200928
20200925,4호선,동작(현충원),2626,2727,20200928
20200925,9호선,동작(현충원),1713,1339,20200928
20200925,경부선,두정,5093,4805,20200928
20200925,5호선,둔촌동,8136,8084,20200928
20200925,9호선2~3단계,둔촌오륜,1082,928,20200928
20200925,9호선,등촌,10635,10343,20200928
20200925,6호선,디지털미디어시티,13411,14296,20200928
20200925,경의선,디지털미디어시티,2372,2202,20200928
20200925,공항철도 1호선,디지털미디어시티,13270,11605,20200928
20200925,2호선,뚝섬,19921,21536,20200928
20200925,7호선,뚝섬유원지,8244,8061,20200928
20200925,5호선,마곡,8770,8354,20200928
20200925,9호선,마곡나루(서울식물원),10185,10291,20200928
20200925,공항철도 1호선,마곡나루(서울식물원),7334,6874,20200928
20200925,일산선,마두,7308,7627,20200928
20200925,7호선,마들,11970,11115,20200928
20200925,경춘선,마석,3767,3631,20200928
20200925,5호선,마장,5862,5442,20200928
20200925,5호선,마천,5720,5462,20200928
20200925,5호선,마포,13661,14584,20200928
20200925,6호선,마포구청,13886,12037,20200928
20200925,중앙선,망우,7540,7239,20200928
20200925,6호선,망원,13904,15505,20200928
20200925,경원선,망월사,7267,7240,20200928
20200925,분당선,망포,13851,12525,20200928
20200925,분당선,매교,2815,2797,20200928
20200925,3호선,매봉,11778,11189,20200928
20200925,분당선,매탄권선,4726,4366,20200928
20200925,7호선,먹골,10040,9620,20200928
20200925,7호선,면목,15402,14668,20200928
20200925,4호선,명동,17262,18126,20200928
20200925,5호선,명일,8267,8484,20200928
20200925,경부선,명학,8907,8787,20200928
