Station,Line,Connection,Longitude,Latitude
소요산,1호선,소요산-용산,127.061034,37.9481
동두천,1호선,소요산-용산,127.05479,37.927878
보산,1호선,소요산-용산,127.057277,37.913702
동두천중앙,1호선,소요산-용산,127.056482,37.901885
지행,1호선,소요산-용산,127.055716,37.892334
덕정,1호선,소요산-용산,127.061277,37.843188
덕계,1호선,소요산-용산,127.056486,37.818486
양주,1호선,소요산-용산,127.044708,37.774381
녹양,1호선,소요산-용산,127.042292,37.75938
가능,1호선,소요산-용산,127.044213,37.748577
의정부,1호선,소요산-용산,127.045958,37.738415
회룡,1호선,소요산-용산,127.046895,37.724846
망월사,1호선,소요산-용산,127.047455,37.709914
도봉산,1호선,소요산-용산,127.046222,37.689313
도봉,1호선,소요산-용산,127.045595,37.679563
방학,1호선,소요산-용산,127.044273,37.667503
창동,1호선,소요산-용산,127.047731,37.653166
녹천,1호선,소요산-용산,127.051269,37.644799
월계,1호선,소요산-용산,127.058831,37.633212
광운대,1호선,소요산-용산,127.061835,37.623632
석계,1호선,소요산-용산,127.065851,37.614805
신이문,1호선,소요산-용산,127.067325,37.601854
외대앞,1호선,소요산-용산,127.063549,37.596073
청량리,1호선,소요산-용산,127.046835,37.580178
제기동,1호선,소요산-용산,127.034893,37.578103
신설동,1호선,소요산-용산,127.025087,37.575297
동묘앞,1호선,소요산-용산,127.016429,37.572627
동대문,1호선,소요산-용산,127.009745,37.57142
종로5가,1호선,소요산-용산,127.001849,37.570926
종로3가,1호선,소요산-용산,126.991806,37.571607
종각,1호선,소요산-용산,126.982923,37.570161
시청,1호선,소요산-용산,126.977108,37.564718
서울역,1호선,소요산-용산,126.972559,37.554648
남영,1호선,소요산-용산,126.9713,37.541021
용산,1호선,소요산-용산,126.964561,37.529849
용산,1호선,용산-구로,126.964561,37.529849
노량진,1호선,용산-구로,126.942454,37.514219
대방,1호선,용산-구로,126.926382,37.513342
신길,1호선,용산-구로,126.917169,37.517122
영등포,1호선,용산-구로,126.907628,37.515504
신도림,1호선,용산-구로,126.891295,37.508725
구로,1호선,용산-구로,126.881966,37.503039
구로,1호선,구로-인천,126.881966,37.503039
구일,1호선,구로-인천,126.870793,37.496756
개봉,1호선,구로-인천,126.85868,37.494594
오류동,1호선,구로-인천,126.845365,37.494526
온수,1호선,구로-인천,126.823388,37.492258
역곡,1호선,구로-인천,126.811502,37.485178
소사,1호선,구로-인천,126.79544,37.482753
부천,1호선,구로-인천,126.782686,37.48405
중동,1호선,구로-인천,126.764843,37.486562
송내,1호선,구로-인천,126.753664,37.4876
부개,1호선,구로-인천,126.74109,37.488418
부평,1호선,구로-인천,126.724805,37.489493
백운,1호선,구로-인천,126.707704,37.483664
동암,1호선,구로-인천,126.702896,37.471408
간석,1호선,구로-인천,126.694181,37.464737
주안,1호선,구로-인천,126.679923,37.464941
도화,1호선,구로-인천,126.668672,37.46607
제물포,1호선,구로-인천,126.656666,37.466769
도원,1호선,구로-인천,126.642706,37.468446
동인천,1호선,구로-인천,126.632802,37.475276
인천,1호선,구로-인천,126.616936,37.476691
구로,1호선,구로-금천구청,126.881966,37.503039
가산디지털단지,1호선,구로-금천구청,126.882343,37.481072
독산,1호선,구로-금천구청,126.889249,37.466613
금천구청,1호선,구로-금천구청,126.89398,37.455626
금천구청,1호선,금천구청-광명,126.89398,37.455626
광명,1호선,금천구청-광명,126.884466,37.416182
금천구청,1호선,금천구청-병점,126.89398,37.455626
석수,1호선,금천구청-병점,126.902295,37.435047
관악,1호선,금천구청-병점,126.908706,37.419232
안양,1호선,금천구청-병점,126.922874,37.401592
명학,1호선,금천구청-병점,126.935433,37.384653
금정,1호선,금천구청-병점,126.943429,37.372221
군포,1호선,금천구청-병점,126.948462,37.35356
당정,1호선,금천구청-병점,126.948345,37.344285
의왕,1호선,금천구청-병점,126.948217,37.320852
성균관대,1호선,금천구청-병점,126.97075,37.300349
화서,1호선,금천구청-병점,126.989627,37.283862
수원,1호선,금천구청-병점,126.999874,37.265974
세류,1호선,금천구청-병점,127.013222,37.245025
병점,1호선,금천구청-병점,127.032731,37.207503
병점,1호선,병점-서동탄,127.032731,37.207503
서동탄,1호선,병점-서동탄,127.051672,37.195504
병점,1호선,병점-신창,127.032731,37.207503
세마,1호선,병점-신창,127.04318,37.187533
오산대,1호선,병점-신창,127.063197,37.168953
오산,1호선,병점-신창,127.06672,37.145885
진위,1호선,병점-신창,127.062278,37.109447
송탄,1호선,병점-신창,127.054301,37.075696
서정리,1호선,병점-신창,127.052819,37.056496
지제,1호선,병점-신창,127.070444,37.0188
평택,1호선,병점-신창,127.085159,36.990726
성환,1호선,병점-신창,127.126964,36.916076
직산,1호선,병점-신창,127.143904,36.870593
두정,1호선,병점-신창,127.14896,36.833705
천안,1호선,병점-신창,127.146826,36.810005
봉명,1호선,병점-신창,127.135763,36.801215
쌍용,1호선,병점-신창,127.1214,36.793759
아산,1호선,병점-신창,127.104361,36.792053
배방,1호선,병점-신창,127.052991,36.777629
온양온천,1호선,병점-신창,127.003249,36.780483
신창,1호선,병점-신창,126.951108,36.769502
신설동,2호선,신설동-성수,127.025087,37.575297
용두,2호선,신설동-성수,127.038091,37.574028
신답,2호선,신설동-성수,127.046481,37.57004
